Name,Parameters,Examples,Description,Notes,Version Added
add_splendor,<int>The amount to add or subtract.,add_splendor = 2,Adds splendor to the current scope.,Splendor is used to purchase Age abilities.,1.20
create_advisor,<advisor>The advisor to create.,create_advisor = philosopher,Adds the defined advisor to the current scope.,"Defaults the advisor's location to the capital, and religion and culture to the current scope's.",1.1
kill_advisor,randomKill a random advisor.<advisor>Kill a specific advisor type.<advisor id>Kill a specific advisor id.,kill_advisor = philosopherkill_advisor = randomkill_advisor = 30,Kills a hired advisor for the current scope.,Advisor types are found in/Europa Universalis IV/common/advisortypes/*.txtDisplays the advisor death message box when used.Only works for advisors that have been hired.,1.1
remove_advisor,randomRemove a random advisor.<advisor>Remove a specific advisor type<advisor id>Remove a specific advisor id.,remove_advisor = philosopherremove_advisor = randomremove_advisor = 30,Removes a hired advisor for the current scope.,Advisor types are found in/Europa Universalis IV/common/advisortypes/*.txtDoes not display the advisor death message box when used.Only works for advisors that have been hired.,1.1
remove_advisor_by_category,"<type>Removes an advisor by monarch power type:ADM,DIPorMIL.",remove_advisor_by_category = ADM,Removes a hired advisor of a monarch power type for the current scope.,Only works for advisors that have been hired.,1.20
define_advisor,type = <type>The advisor type to create.skill = <int>The amount of skill the advisor has. Limited to 3 maximum.name = <string>Optional. The name to use.location = <province id>Optional. The province that the advisor comes from.discount = yesOptional. If the SCRIPTED_ADVISOR_DISCOUNT cost reduction applies to this advisor.cost_multiplier = <int>Optional. Modifiers the cost of the advisor.female = yesOptional. Makes this advisor female.culture = <culture> / <scope>Optional. The culture of this advisor.religion = <religion> / <scope>Optional. The religion of this advisor.age = <int>Optional. The age of this advisor.min_age = <int>Optional. The minimum age of this advisor.max_age = <int>Optional. The maximum age of this advisor.,"define_advisor = {
    type = treasurer
    name = ""John Smith""
    skill = 3
    culture = english
    religion = catholic
}define_advisor = {
    type = treasurer
    name = rising_star_advisor
    skill = 2
    culture = event_target:wrong_religion_province
    religion = event_target:wrong_religion_province
}define_advisor = {
    type = recruitmaster
    skill = 3
    discount = yes
    culture = variable:new_ruler_culture
}",Adds the defined advisor to the current scope.,"Advisor types are found in/Europa Universalis IV/common/advisortypes/*.txtCan utiliseEvent Scope Valuesfor thecultureandreligionparameters.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
hire_advisor,type = <type>The advisor type to hire.skill = <int>The amount of skill the advisor has. Limited to 3 maximum.name = <string>Optional. The name to use.location = <province id>Optional. The province that the advisor comes from.discount = yesOptional. If the SCRIPTED_ADVISOR_DISCOUNT cost reduction applies to this advisor.cost_multiplier = <int>Optional. Modifiers the cost of the advisor.female = yesOptional. Makes this advisor female.culture = <culture> / <scope>Optional. The culture of this advisor.religion = <religion> / <scope>Optional. The religion of this advisor.age = <int>Optional. The age of this advisor.min_age = <int>Optional. The minimum age of this advisor.max_age = <int>Optional. The maximum age of this advisor.,"hire_advisor = {
    type = treasurer
    name = ""John Smith""
    skill = 3
    culture = english
    religion = catholic
}hire_advisor = {
    type = treasurer
    name = rising_star_advisor
    skill = 2
    culture = event_target:wrong_religion_province
    religion = event_target:wrong_religion_province
}hire_advisor = {
    type = recruitmaster
    skill = 3
    discount = yes
    culture = variable:new_ruler_culture
}","Forcefully hires an advisor, putting it into the court of the current scope. The old advisor gets fired if the space is preoccupied already.","Advisor types are found in/Europa Universalis IV/common/advisortypes/*.txtCan utiliseEvent Scope Valuesfor thecultureandreligionparameters.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.From a scripting point of view, this effect works exactly likedefine_advisorwith all the same parameters.",1.35
extend_regency,<int>The amount of years to extend the regency by.,extend_regency = 5,Extends an ongoing regency for the current country scope by the specified amount in years.,,1.31
regency,<int>The amount of years to extend the regency by.,extend_regency = 5,Extends an ongoing regency for the current country scope by the specified amount in years.,,1.31
change_national_focus,"Skill type to use.<ADM>
<DIP>
<MIL>",change_national_focus = ADM,Changes the national focus of the current country scope.,,1.32
add_power_projection,type = <name>The power projection modifier to use. Power projection modifiers are located in the static modifiers.amount = <int>The amount of power projection to add.,"add_power_projection = { 
	type = 25_permanent_power_projection
	amount = 25 
}",Adds the amount of power projection to the current scope.,,1.30
remove_power_projection,key = <name>The power projection modifier to use. Power projection modifiers are located in the static modifiers.amount = <int>Optional. The amount of power projection to remove.,"remove_power_projection = { 
	key = 25_permanent_power_projection
	amount = 25 
}",Removes the amount of power projection from the current scope.,"Ifamountis not defined, the entire amount of the specified key is removed instead.",1.35
add_stability,<int>The amount to add or subtract.,add_stability = 1,Adds stability to the current scope.,,1.1
add_war_exhaustion,<int>The amount to add or subtract.,add_war_exhaustion = 2,Adds war exhaustion to the current scope.,,1.1
add_liberty_desire,<int>The amount to add or subtract.,add_liberty_desire = 10,Adds liberty desire to the current scope.,Used on the subject to raise liberty desire for the overlord.,1.4
disband_rebels,<type>The rebel type to disband.,disband_rebels = anti_tax_rebels,Disbands all active rebels of the specified type in the provinces of the current scope.,Rebel types are found in/Europa Universalis IV/common/rebel_types/*.txt,1.1
collapse_nation,yesBoolean,collapse_nation = yes,Gives a percentage of the current scope's owned provinces to random native countries.,,1.10
add_disaster_modifier,name = <modifier>The event modifier to add.disaster = <disaster>The disaster to apply the modifier to.duration = <days>The duration for the modifier to be active for.,"add_disaster_modifier = {
    name = ""restrict_serfdom""
    duration = -1
    disaster = internal_conflicts
}","Applies an event modifier to the current scope that is removed when the disaster is over, or the duration runs out.",Disasters are found in/Europa Universalis IV/common/disasters/*.txt,1.10
add_disaster_progress,disaster = <disaster>The disaster to alter.value = <int>The amount of progress to add or subtract.,"add_disaster_progress = {
    disaster = internal_conflicts
    value = 10
}",Adds progress towards an already declared (conditions for disaster are met since at least a month) disaster,Disasters are found in/Europa Universalis IV/common/disasters/*.txt,1.16
end_disaster,<disaster>The disaster to end.,end_disaster = internal_conflicts,Immediately ends an active disaster for the current scope.,Disasters are found in/Europa Universalis IV/common/disasters/*.txt,1.9
add_rebel_progress,rebel_type = <identifier>value = <int>,"add_rebel_progress = {
    rebel_type = pretender_rebels
    value = 10
}",Adds progress to a specified rebel type spawning in the current country.,If no rebel type is defined then progress is added to all rebels.,1.35
add_army_tradition,<int>The amount of army tradition to add or subtract.,add_army_tradition = 10,Adds Army Tradition to the current scope.,,1.1
add_navy_tradition,<int>The amount of navy tradition to add or subtract.,add_navy_tradition = 10,Adds Navy Tradition to the current scope.,,1.1
add_army_professionalism,<float>The amount of army professionalism to add or subtract.,add_army_professionalism = 0.05,Adds Army Professionalism to the current scope.,1 is equal to 100 army professionalism.,1.23
add_manpower,<float>The amount of manpower to add or subtract.,add_manpower = 1,Adds manpower to the current scope.,1 is equal to 1000 manpower.,1.1
add_sailors,<int>The amount of sailors to add or subtract.,add_sailors = 10,Adds sailors to the current scope.,1 is equal to 1 sailor.,1.16
add_yearly_manpower,<float>The amount of manpower to add or subtract.,add_yearly_manpower = 0.5,"Adds manpower to the current scope, as a percentage of total yearly manpower.",1 is equal to 100% of total yearly manpower.,1.4
add_yearly_sailors,<float>The amount of sailors to add or subtract.,add_yearly_sailors = 10,"Adds sailors to the current scope, as a percentage of total yearly sailors.",1 is equal to 100% of total yearly sailors.,1.16
create_admiral,tradition = <int>The amount of navy tradition to use in generation.add_fire = <int>(optional) Additional fire pips.add_shock = <int>(optional) Additional shock pips.add_manuever = <int>(optional) Additional manuever pips.add_siege = <int>(optional) Additional siege pips.culture = <identifier>(optional) Give the general a random name from the specified culture.,create_admiral = { tradition = 50 },Generates an new admiral for the current scope.,changed with 1.1,1.1
create_explorer,<int>The amount of navy tradition to use in generation.,create_explorer = { tradition = 50 },Generates an new explorer for the current scope.,,1.3
create_conquistador,<int>The amount of army tradition to use in generation.,create_conquistador = { tradition = 50 },Generates an new conquistador for the current scope.,,1.3
create_general,tradition = <int>The amount of army tradition to use in generation.add_fire = <int>(optional) Additional fire pips.add_shock = <int>(optional) Additional shock pips.add_manuever = <int>(optional) Additional manuever pips.add_siege = <int>(optional) Additional siege pips.culture = <identifier>(optional) Give the general a random name from the specified culture.,create_general = { tradition = 50 },Generates an new general for the current scope.,changed with 1.26,1.1
change_unit_type,<type>The unit type to change to.,change_unit_type = western,Change the unit type for the current scope.,The unit types correspond to the technology groups found in/Europa Universalis IV/common/technology.txt.,1.1
kill_leader,type = <type>The leader type to kill.nameis the specific leader name to target.,"kill_leader = {
    type = random
}kill_leader = {
    type = general
}kill_leader = {
    type = ""John Smith""
}",Kills a leader held by the current scope matching the type used.,Possible types:generaladmiralconquistadorexplorerrandom<leader name>,1.1
define_admiral,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.name = <string>Optional. The name of the leader.female = yesOptional. Makes the leader female.trait = <trait>Optional. A trait automatically assigned to the leader.,"define_admiral = {
    shock = 2
    fire = 2
    manuever = 2
    siege = 2
}",Creates an admiral with the defined attributes for the current scope.,"Leader traits can be found in/Europa Universalis IV/common/leader_personalities/*.txt.Siege improves Blockade Efficiency for admirals.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
define_explorer,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.name = <string>Optional. The name of the leader.female = yesOptional. Makes the leader female.trait = <trait>Optional. A trait automatically assigned to the leader.,"define_explorer = {
    shock = 2
    fire = 2
    manuever = 2
    siege = 2
}",Creates an explorer with the defined attributes for the current scope.,"Leader traits can be found in/Europa Universalis IV/common/leader_personalities/*.txt.Siege improves Blockade Efficiency for explorers.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
define_conquistador,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.name = <string>Optional. The name of the leader.female = yesOptional. Makes the leader female.trait = <trait>Optional. A trait automatically assigned to the leader.,"define_conquistador = {
    shock = 2
    fire = 2
    manuever = 2
    siege = 2
}",Creates a conquistador with the defined attributes for the current scope.,"Leader traits can be found in/Europa Universalis IV/common/leader_personalities/*.txt.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
define_general,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.name = <string>Optional. The name of the leader.female = yesOptional. Makes the leader female.trait = <trait>Optional. A trait automatically assigned to the leader.,"define_general = {
    shock = 2
    fire = 2
    manuever = 2
    siege = 2
}",Creates a general with the defined attributes for the current scope.,"Leader traits can be found in/Europa Universalis IV/common/leader_personalities/*.txt.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
add_company_manpower,<percent>Add or subtract company manpower,"random_hired_mercenary_company = {
   add_company_manpower = -0.25
}",Changes the defined Mercenary Company's manpower by x percent.,Only works within Mercenary Company scopes.,1.30
disband_mercenary_company,<scope>Disbands the scoped Mercenary company,"random_hired_mercenary_company = {
    disband_mercenary_company = THIS
}",Disbands the scoped Mercenary Company.,,1.30
disband_all_units,yesBoolean,disband_all_units = yes,"the current country scope disbands all units it has. No matter where they are. Units, which are in battle while this effect fires are ""stack wiped"".",Applies to both land and naval units.,1.35
disband_all_regiments,yesBoolean,disband_all_regiments = yes,"the current country scope disbands all troops it has. No matter where they are. Units, which are in battle while this effect fires are ""stack wiped"".",Applies only to land units.,1.35
disband_all_ships,yesBoolean,disband_all_ships = yes,"the current country scope disbands all ships it has. No matter where they are. Units, which are in battle while this effect fires are ""stack wiped"".",,1.35
create_unit_forcelimit_percentage,type = <type>Which type of unit to build.special_unit_category = <type>Accepts any special unit.force_limit_percentage = <int>percentage of the forcelimit to build.,"create_unit_forcelimit_percentage = {
    type = heavy_ship
    special_unit_category = janissaries
    force_limit_percentage = 0.5
}",Builds the defined units as a percentage of the owner's forcelimit in the current province scope.,Possible types:infantrycavalryartilleryheavy_shiplight_shipgalleytransportSpecial Units:janissariescawamusketeerbannercossacksstreltsyrajputmarineshussarscaroleanmercenaryrevolutionary_guardterciosamuraiman_of_wargalleoncaravelvoc_indiamengeobukseongalleassmamluksqizilbash,1.35
set_naval_doctrine,<type>,set_naval_doctrine = merchant_navy,Sets the country's naval doctrine to the specified type.,,1.36
add_historical_friend,<scope>The country to add the friendship to.,add_historical_friend = FRA,Makes the defined scope a historical friend of the current scope.,,1.12
add_historical_rival,<scope>The country to add the rivalry to.,add_historical_rival = FRA,Makes the defined scope a historical rival of the current scope.,,1.12
remove_historical_friend,<scope>The country to remove the friendship from.,remove_historical_friend = FRA,Removes the historical friendship between the defined scope and the current scope.,,1.12
remove_historical_rival,<scope>The country to remove the rivalry from.,remove_historical_rival = FRA,Removes the historical rivalry between the defined scope and the current scope.,,1.12
add_rival,<scope>The country to that will be added as rival.,add_rival = FRA,Makes the defined scope a rival of the current scope.,,1.30
remove_rival,<scope>The country to that will be removed as rival.,remove_rival = FRA,Removes the defined scope as a rival of the current scope.,,1.30
force_remove_rival,<scope>The country to that will be removed as rival.,force_remove_rival = FRA,Removes the defined scope as a rival of the current scope. That country cannot be picked as a rival again for the next 15 years.,,1.30
add_trust,who = <scope>The country trust will be added with.value = <int>The amount of trust to add or subtract.mutual = yesOptional. Whether to apply the trust change to both countries.,"add_trust = {
    who = FRA
    value = 25
    mutual = yes
}",Adds trust with the defined scope for the current scope.,Used in conjunction with the Diplomatic Feedback mechanic from The Cossacks DLC.,1.20
add_favors,who = <scope>The country favors are added with.value = <int>The amount of favors to add or subtract.,"add_favors = {
   who = TUR
   amount = 10
}",Adds favors with the defined scope for the current scope.,,1.32
add_opinion,who = <scope>The country the opinion modifier is for.modifier = <modifier>The opinion modifier to use.years = <int>Optional. Whether the modifier expires after a set amount of years.months = <int>Optional. Whether the modifier expires after a set amount of months.multiplier = <float>Optional. The extra amount to add. Multiplies with the opinion value.,"add_opinion = {
    who = FRA
    modifier = renounced_as_heretics
}add_opinion = {
	who = FRA
	modifier = aggressive_expansion
	multiplier = 50
}",Adds an opinion modifier for the current scope held against the defined scope.,Opinion modifiers are found in/Europa Universalis IV/common/opinion_modifiers/*.txt,1.1
reverse_add_opinion,who = <scope>The country the opinion modifier is added to.modifier = <modifier>The opinion modifier to use.years = <int>Optional. Whether the modifier expires after a set amount of years.months = <int>Optional. Whether the modifier expires after a set amount of months.multiplier = <float>Optional. The extra amount to add. Multiplies with the opinion value.,"reverse_add_opinion = {
    who = FRA
    modifier = renounced_as_heretics
}reverse_add_opinion = {
	who = FRA
	modifier = aggressive_expansion
	multiplier = 50
}",Adds an opinion modifier for the defined scope held against the current scope.,Opinion modifiers are found in/Europa Universalis IV/common/opinion_modifiers/*.txt,1.1
remove_opinion,who = <scope>The country the opinion modifier is held against.modifier = <modifier>The opinion modifier to use.,"remove_opinion = {
    who = FRA
    modifier = renounced_as_heretics
}",Removes an opinion modifier for the current scope held against the defined scope.,Opinion modifiers are found in/Europa Universalis IV/common/opinion_modifiers/*.txt,1.1
reverse_remove_opinion,who = <scope>The country the opinion modifier holds.modifier = <modifier>The opinion modifier to use.,"reverse_remove_opinion = {
    who = FRA
    modifier = renounced_as_heretics
}",Removes an opinion modifier for the defined scope held against the current scope.,Opinion modifiers are found in/Europa Universalis IV/common/opinion_modifiers/*.txt,1.1
create_alliance,<scope>The country to create an alliance with.,create_alliance = FRA,Creates an alliance between the current scope and the defined scope.,,1.1
remove_alliance,<scope>The country to remove an alliance with.,remove_alliance = FRA,Removes an existing alliance between the current scope and the defined scope.,,1.34
create_guarantee,<scope>The country to create a guarantee with.,create_guarantee = FRA,Creates a guarantee over the defined scope for the current scope.,,1.8
remove_guarantee,<scope>The country to remove the guarantee from.,remove_guarantee = FRA,Removes guarantee from the defined scope for the current scope.,,1.35
create_marriage,<scope>The country to create an royal marriage with.,create_marriage = FRA,Creates a royal marriage between the current scope and the defined scope.,,1.1
create_union,<scope>The country to make into the junior partner.,create_union = FRA,Makes the defined scope a junior partner in a personal union with the current scope.,,1.1
create_vassal,<scope>The country to create as a vassal.,create_vassal = FRA,Creates the defined vassal out of the scopes territory if possible.,Uses thevassalsubject type.Target country must not exist. Will be created by this command out of the scopes territory.,1.22
create_march,<scope>The country to make into a march.,create_march = FRA,Makes the defined scope a march subject of the current scope.,Uses themarchsubject type.Target country must already exist.,1.12
vassalize,<scope>The country to vassalize.,vassalize = FRA,Makes the defined scope a vassal subject of the current scope.,Uses thevassalsubject type.Target country must already exist.,1.1
create_subject,subject_type = <type>The subject type to use.subject = <scope>The scope to make the subject.,"create_subject = {
    subject_type = tributary_state
    subject = FRA
}",Makes the defined scope into the defined subject type under the current scope.,Subject types are found in/Europa Universalis IV/common/subject_types/*.txt.,1.20
break_marriage,<scope>The country to break the marriage with.,break_marriage = FRA,Breaks the current scope's royal marriage with the defined scope.,,1.11
break_alliance,<scope>The country to break the alliance with.,break_alliance = FRA,Breaks the current scope's alliance with the defined scope.,,1.34
break_union,<scope>The country to break the union with.,break_union = FRA,Breaks the current scope's union with the defined scope.,,1.1
inherit,<scope>The country to inherit.,inherit = FRA,The current scope inherits all of the defined scope's provinces.,,1.1
release,<scope>The country to release.,release = FRA,The current scope releases all provinces with the defined scope's cores.,Target country must not exist. Unlike 'create_vassal' the released country will not be a vassal.,1.1
release_all_subjects,yesBoolean.,release_all_subjects = yes,The current scope grants independence to all their subjects.,,1.10
release_all_possible_countries,yesBoolean.,release_all_possible_countries = yes,The current scope releases all countries which can be released from its owned provinces.,"If possible, the order should go from the smallest releasable to the largest. If that is not possible then it should be just random.",1.35
grant_independence,yesBoolean.,grant_independence = yes,The current scope is granted independence from their overlord.,,1.22
free_vassal,<scope>The country to free.,"every_subject_country = {
      BUR = { free_vassal = PREV }
}",Frees a vassal from the current scope.,,1.22
declare_war,<scope>The country to declare against.,declare_war = FRA,Creates a no casus belli war against the defined scope for the current scope.,,1.1
declare_war_with_cb,"who = <scope>The country declared against.casus_belli = <cb>The casus belli to use.war_goal_province = <province id>Optional. Defines the province the war was declared for, if required by the casus belli.","declare_war_with_cb = {
    who = FRA
    casus_belli = cb_annex
}","Declares war for the current scope against the defined scope, using the defined casus belli.","war_goal_provinceis has to be specified if the CB has a wargoal of the following types: take_province, take_core, take_border or take_colony(all which allow the player to select a province as the wargoal when declaring the war). The province has to be a valid province for the CB.Casus belli are found in/Europa Universalis IV/common/cb_types/*.txt",1.1
add_truce_with,<scope>The country to add a truce against.,add_truce_with = FRA,Creates a truce between the defined scope and the current scope.,The truce length is the default white peace truce length.,1.1
white_peace,<scope>The country to force white peace against.,white_peace = FRA,Forces the defined scope into a white peace truce with the current scope.,,1.1
form_coalition_against,<scope>The country to form against.,form_coalition_against = FRA,The current scope creates or joins a coalition against the defined scope.,,1.1
add_casus_belli,target = <scope>The country to add the casus belli against.type = <cb>The casus belli to add.months = <months>The number of months the casus belli lasts for.,"add_casus_belli = {
    target = FRA
    type = cb_annex
    months = 12
}",Adds a casus belli for the current scope against the defined scope.,Casus belli are found in/Europa Universalis IV/common/cb_types/*.txt,1.1
reverse_add_casus_belli,target = <scope>The country to that gains the casus belli.type = <cb>The casus belli to add.months = <months>The number of months the casus belli lasts for.,"reverse_add_casus_belli = {
    target = FRA
    type = cb_annex
    months = 12
}",Adds a casus belli against the current scope for the defined scope.,Casus belli are found in/Europa Universalis IV/common/cb_types/*.txt,1.1
remove_casus_belli,target = <scope>The country the casus belli is against.type = <cb>The casus belli to remove.,"remove_casus_belli = {
    target = FRA
    type = cb_annex
}",Removes a casus belli held against the defined scope for the current scope.,Casus belli are found in/Europa Universalis IV/common/cb_types/*.txt,1.1
reverse_remove_casus_belli,target = <scope>The country that holds the casus belli.type = <cb>The casus belli to remove.,"reverse_remove_casus_belli = {
    target = FRA
    type = cb_annex
}",Removes a casus belli held by the defined scope against the current scope.,Casus belli are found in/Europa Universalis IV/common/cb_types/*.txt,1.1
remove_fow,<months>The number of months to remove fog of war.,"random_rival_country = {
    limit = { war_with = ROOT }
    remove_fow = 3
}","Removes the fog of war in the current scope for the ROOT scope (not PREV scope, as previously written).",,1.1
remove_hegemon,yesBoolean.<scope>,remove_hegemon = yesremove_hegemon = FRA,Removes hegemony status from the current or specified country scope.,Supports country scope as of 1.35.,1.34
add_spy_network_from,who = <scope>The country to add spy network for.value = <int>The amount of spy network to add or subtract.,"add_spy_network_from = {
    who = FRA
    value = 10
}",Adds spy network in the current scope for the defined scope.,,1.16
add_spy_network_in,who = <scope>The country to add spy network in.value = <int>The amount of spy network to add or subtract.,"add_spy_network_in = {
    who = FRA
    value = 10
}",Adds spy network for the current scope in the defined scope.,,1.16
join_all_offensive_wars_of,<scope>The country to join the offensive wars of.,join_all_offensive_wars_of = NED,Makes the current scope join all offensive wars of the specified scope.,"Fails and throws a script error if the current scope (the tag using this) has a truce with any allies of the defender, even non-co-belligerents.",1.30
join_all_defensive_wars_of,<scope>The country to join the defensive wars of.,join_all_defensive_wars_of = NED,Makes the current scope join all defensive wars of the specified scope.,,1.30
add_aggressive_expansion,who = <scope>The country to add aggressive expansion towards.value = <int>apply_calc = yes / no,"add_aggressive_expansion = {
	who = FRA
	value = 50
	apply_calc = yes
}",The current country scope adds X amount of aggressive expansion towards the specified country.,apply_calcdetermines whether culture & religion modify the value.,1.34
reverse_add_aggressive_expansion,who = <scope>The country to add aggressive expansion with.value = <int>apply_calc = yes / no,"reverse_add_aggressive_expansion = {
	who = ENG
	value = -50
	apply_calc = no
}",The specified country adds X amount of aggressive expansion towards the current country scope.,apply_calcdetermines whether culture & religion modify the value.,1.34
add_subjects_development_ducats,multiplier = <int>age_multiplier = <int>,"add_subjects_development_ducats = {
	multiplier = 2.5
	trigger = { is_subject_of_type = vassal }
}",The current country scope gains ducats equaling the total development owned by subject countries multiplied bymultiplierandage_multiplier.,triggercontrols which subjects get factored into the total development.,1.34
add_subjects_development_manpower,multiplier = <int>age_multiplier = <int>,"add_subjects_development_manpower = {
	multiplier = 5
	trigger = { is_subject_of_type = personal_union }
}",The current country scope gains manpower equaling 1k times the total development owned by subject countries multiplied bymultiplierandage_multiplier.,triggercontrols which subjects get factored into the total development.,1.34
change_adm,<int>The amount to add or subtract from the ruler's ADM skill.,change_adm = 1,Adds ADM skill to the current ruler.,,1.1
change_dip,<int>The amount to add or subtract from the ruler's DIP skill.,change_dip = 1,Adds DIP skill to the current ruler.,,1.1
change_mil,<int>The amount to add or subtract from the ruler's MIL skill.,change_mil = 1,Adds MIL skill to the current ruler.,,1.1
add_ruler_personality,<personality>The ruler personality to add.,add_ruler_personality = righteous_personality,Adds the defined personality to the current ruler.,"Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt.NOTE: Does nothing if the country's religion uses the ancestor mechanic (e.g. Totemist), as this disables the usual ruler personality system.",1.18
remove_ruler_personality,<personality>The ruler personality to remove.,remove_ruler_personality = righteous_personality,Removes the defined personality from the current ruler.,Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt.
clear_scripted_personalities,yesBoolean.,clear_scipted_personalities = yes,Removes all defined personalities from both the ruler and heir.,,1.?
set_ruler_flag,<flag>A unique string to identify the ruler flag with.,set_ruler_flag = my_flagset_ruler_flag = my_flag@ROOTset_ruler_flag = my_flag@event_target:name,Defines a ruler flag for the current scope's ruler.,Flags can be appended with scopes or event targets,1.7
clr_ruler_flag,<flag>The unique string of the flag to clear.,clr_ruler_flag = my_flag,Clears a ruler flag for the current scope's ruler.,,1.7
set_dynasty,<string> / <scope> / original_dynastyThe dynasty to set.,"set_dynasty = ""Smith""set_dynasty = FRAset_dynasty = original_dynasty",Sets the dynasty of the current scope's ruler.,If <string> is used it must exist in dynasty_names of any culture or culture group.,1.1
set_ruler_culture,<culture>The culture to change to.,set_ruler_culture = englishset_ruler_culture = CASset_ruler_culture = event_target:my_event_targetset_ruler_culture = variable:my_variable,Changes the ruler culture of the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txtCan utiliseEvent Scope Values.,1.23
set_ruler_religion,<religion>The religion to change to.,set_ruler_religion = catholicset_ruler_religion = CASset_ruler_religion = event_target:my_event_targetset_ruler_religion = variable:my_variable,Changes the ruler religion of the current scope.,Religions are found in/Europa Universalis IV/common/religions/*.txtCan utiliseEvent Scope Values.,1.23
exile_ruler_as,<string>The unique string to identify the exiled ruler with.,exile_ruler_as = { name = my_exiled_ruler },"Removes the current ruler of the current scope, saving them to the unique string.",,1.12
set_ruler,<string>The unique string of an exiled ruler.,set_ruler = my_exiled_ruler,Makes the exiled ruler the ruler of the current scope.,,1.12
kill_ruler,yesBoolean.,kill_ruler = yes,Kills the ruler of the current scope.,,1.1
convert_female_ruler_to_general,yesBoolean.,convert_female_ruler_to_general = yes,Converts a female ruler into a general.,,1.15
convert_ruler_to_general,yes / <int>Boolean or Integer.,convert_ruler_to_general = yesconvert_ruler_to_general = 50,Converts a male ruler into a general. If an integer is given then it is used asarmy traditionduring generation.,Supports integer as army tradition as of 1.34.,1.8
convert_ruler_to_admiral,yes / <int>Boolean or Integer.,convert_ruler_to_admiral = yesconvert_ruler_to_admiral = 50,Converts a male ruler into an admiral. If an integer is given then it is used asnavy traditionduring generation.,,1.35
add_ruler_modifier,name = <name>The event modifier to add.duration = <days>Optional. The number of days to add the ruler modifier for.hidden = yesOptional. Whether the ruler modifier is hidden in the government view.desc = <stringOptional. The string used to override the automatic duration string.,"add_ruler_modifier = { 
    name = mad_and_bad
    duration = -1  
    desc = MAD_AND_BAD_DESC
    hidden = yes
}",Adds an event modifier to the current scope as a ruler modifier.,Ruler modifiers are cleared when the ruler dies.,1.1
define_ruler_to_general,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.,"define_ruler_to_general = {
    fire = 3
    shock = 3
    manuever = 3
    siege = 3
}",Creates a general from the ruler for the current scope.,,1.8
define_leader_to_ruler,type = general / conquistador / admiral / explorerThe leader type to pick a leader from.name = <string>The specific leader to use. Used instead of thetypeparameter.claim = <int>Optional. The starting legitimacy of the ruler.adm = <int>Optional. The minimum ADM skill roll for the ruler.dip = <int>Optional. The minimum DIP skill roll for the ruler.mil = <int>Optional. The minimum MIL skill roll for the ruler.fixed = yesOptional. Makes the ruler skill roll fixed to the defined minimums.,"define_leader_to_ruler = {
    type = general
    adm = 3
    dip = 3
    mil = 3
    fixed = yes
    claim = 100
}define_leader_to_ruler = {
    name = ""John Smith""
}",Creates a ruler from a leader for the current scope.,,1.12
