Value,Type,Description,Scope,Example
has_missionary,Boolean,Returns true if the province has an activemissionary.,Province,has_missionary = yes
has_monsoon,Identifier,Returns true if the province hasmonsoonX.,Province,has_monsoon = normal_monsoon
has_most_province_trade_power,"Tag, Scope",Returns true if the country X has most amount of trade power intrade node.,Province(Trade node),has_most_province_trade_power = ROOT
has_new_dynasty,Boolean,Returns true if the country has a dynasty which is not the same as the first dynasty in its history file.,Country,has_new_dynasty = yes
has_opinion,Clause,Returns true if the country has at leastvalueopinion of the country specified bywho.,Country,"has_opinion = {
        who = ROOT
        value = 10
    }"
has_opinion_modifier,Clause,Returns true if the country has the opinion modifiermodifiertowards the country specified bywho.Can also specify a value of the modifier (but it is not displayed).,Country,"has_opinion_modifier = {
        who = ROOT
        modifier = embraced_absolutism
    }"
has_or_building_flagship,Boolean,Returns true if the scoped country has or is building aflagship,Country,has_or_building_flagship = yes
has_owner_accepted_culture,Boolean,Returns true if thecultureof the province is an accepted culture(NOT primary!) of its owner.,Province,has_owner_accepted_culture = yes
has_owner_culture,Boolean,Returns true if the province has the primarycultureof its owner.,Province,has_owner_culture = no
has_owner_religion,Boolean,Returns true if the province has thereligionof its owner.,Province,has_owner_religion = yes
has_owner_secondary_religion,Boolean,Returns true if the province has the secondary religion of its owner.,Province,has_owner_secondary_religion = yes
has_parliament,Boolean,Returns true if the country has aparliament.,Country,has_parliament = yes
has_pasha,Boolean,Returns true if the province has apasha.,Province,has_pasha = yes
has_personal_deity,Identifier,Returns true if the ruler of the country has picked the specifiedpersonal deity.,Country,has_personal_deity = shakti
has_pillaged_capital_against,"Tag, Scope",Returns true if the country has used thePillage Capitalpeace treaty against the specified country.,Country,has_pillaged_capital_against = FRA
has_port,Boolean,Returns true if it is a coastal province.,Province,has_port = yes
has_privateer_share_in_trade_node,Clause,Returns true if the country has a certain percentage of the trade in a given node throughprivateers.,Province(Trade node),"has_privateer_share_in_trade_node = {
        who = ROOT
        share = 10
    }"
has_privateers,Boolean,Returns true if the country hasprivateersin any trade node.,Country,has_privateers = yes
has_promote_investments,Identifier,Returns true if the country is promoting investments in the specifiedtrade company(region).,Country,has_promote_investments = trade_company_moluccas
has_province_flag,Identifier,Returns true if the province has the province flag X.,Province,has_province_flag = bur_succession_province
has_province_modifier,Identifier,Returns true if province has the province modifier X.,Province,has_province_modifier = local_christian_mission
has_rebel_faction,Identifier,Returns true if the province is controlled by (the specified) rebel faction.,Province,has_rebel_faction = pretender_rebels
has_rebel_faction,REB,"Used by Paradox, doesn't seem to work though (in EU4 version 1.25).",Province,has_rebel_faction = REB
has_reform,Identifier,Returns true if the country has the specific government reform.Does not work in run files,Country,has_reform = ottoman_government
has_regency,Boolean,Returns true if the country has aregency.,Country,has_regency = no
has_removed_fow,Boolean,Returns true if the country has lifted the fog of war from the specified country.,Country,FRA = { has_removed_fow = yes }
has_revolution_in_province,Boolean,Returns true if the revolution is present in the province.,Province,has_revolution_in_province = yes
has_ruler,Name,"Returns true if the country has a ruler named ""X"".",Country,"has_ruler = ""Pachacuti"""
has_ruler_flag,Identifier,Returns true if the ruler flag X is set for the country.,Country,has_ruler_flag = helped_rival
has_ruler_leader_from,"Tag, Scope",Returns true if an army in the province is led by a ruler from X.,Province,has_ruler_leader_from = ROOT
has_ruler_modifier,Identifier,Returns true the country has the modifier X until the ruler changes.,Country,has_ruler_modifier = inside_man
has_saved_event_target,Identifier,Returns true if the specified event target has been saved.,Anywhere,has_saved_event_target = muslim_neighbor
has_saved_global_event_target,Identifier,Returns true if the specified global event target has been saved.,Anywhere,has_saved_global_event_target = EmperorOfChina
has_scutage,Boolean,Returns true if thevassalpays scutage.,(Subject) Country,has_scutage = yes
has_seat_in_parliament,Boolean,Returns true if the province has a seat inparliament.,Province,has_seat_in_parliament = no
has_secondary_religion,Boolean,Returns true if the county has asecondary religion.,Country,has_secondary_religion = yes
has_send_officers,Boolean,Returns true if theprotectoratehas received officers.,(Subject) Country,has_send_officers = yes
has_siege,Boolean,Returns true if the province hassiege.,Province,has_siege = yes
has_spawned_rebels,Identifier,Returns true ifrebelsof the specified type are active in the country.,Country,has_spawned_rebels = particularist_rebels
has_spawned_supported_rebels,Scope,Returns true ifrebelswhich were supported by the specified country are active in the country.,Country,has_spawned_supported_rebels = FROM
has_spy_network_from,Clause,Returns true if the country X has aspy networkof at least the specified size in the country.,Country,"has_spy_network_from = {
        who = ROOT
        value = 25
    }"
has_spy_network_in,Clause,Returns true if the country has aspy networkof at least the specified size in country X.,Country,"has_spy_network_in = {
        who = ROOT
        value = 25
    }"
has_state_edict,Identifier,Returns true if the state has Xedictenabled.,State,has_state_edict = edict_of_absolutism
has_state_patriach,Boolean,"Returns true, if the province has any state patriarch.",Province,has_state_patriach = yes
has_subject_of_type,Identifier,Returns true if the country has at least onesubjectof the specifiedsubjecttype.,Country,has_subject_of_type = tributary_state
has_subsidize_armies,Boolean,Returns true if the march hassubsidizes armies.,(Subject) Country,has_subsidize_armies = yes
has_supply_depot,"Tag, Scope",Returns true if the province has a supply depot built by X,Province,has_supply_depot = ROOT
has_support_loyalists,Boolean,Returns true if thesubject nationreceives support for loyalists.,(Subject) Country,has_support_loyalists = yes
has_switched_nation,Boolean,Returns true if the player has changed nation by playing as areleased vassal.,Anywhere,has_switched_nation = no
has_terrain,Identifier,Returns true if the province has terrain X. Terrains are listed in base game file terrains.txt,Province,has_terrain = marsh
has_trade_company_investment_in_area,Clause,Returns true if the specified investor has the specifiedtrade companyinvestment in the area.,Province,"has_trade_company_investment_in_area  = {
        investment = officers_mess
        investor = ROOT
    }"
has_trade_modifier,Clause,Returns true the specified country has the trade modifier X in the trade node.,Province(Trade node),"has_trade_modifier = {
        who = ROOT
        key = income_bonanza
    }"
has_trader,"Tag, Scope",Returns true if the specified country has amerchantin the trade node.,Province(Trade node),has_trader = VEN
has_truce,Boolean,Returns true if the country has atruce.,Country,has_truce = yes
has_unembraced_institution,Identifier,Returns true if the country has not embraced the specifiedinstitution.,Country,has_unembraced_institution = feudalism
has_unified_culture_group,Boolean,"Returns true, if the country or its subjects own all provinces of its culture group.",Country,has_unified_culture_group = yes
has_unit_type,Identifier,Returns true if the country has selected unit type X as preferable unit.,Country,has_unit_type = polish_winged_hussar
has_unlocked_cult,Identifier,Returns true if the country has unlocked the specifiedcult.,Country,has_unlocked_cult = jewish_cult
has_wartaxes,Boolean,Returns true if the country has raisedwar taxes.,Country,has_wartaxes = yes
has_winter,Identifier,Returns true if the province haswinterX.,Province,has_winter = normal_winter
has_won_war_against,Clause,Returns true the country has won a war against the specified country during the last X years.,Country,"has_won_war_against = {
        who = PREV
        max_years_since = 100
    }"
have_had_reform,Identifier,Returns true if the country has previously had the specific government reform.,Country,have_had_reform = ottoman_government
heavy_ship_fraction,Float,Returns true if the ratio of theheavy shipfraction to the navy size of the country is at least X.,Country,heavy_ship_fraction = 0.33
heavy_ships_in_province,Integer,Returns true if there are at least Xheavy shipsin the province.,Province,heavy_ships_in_province = 2
heavy_ships_in_province,"Tag, Scope",Returns true if there are heavy ships from the specified country in the province.,Province,heavy_ships_in_province = TUN
hegemon_strength,Integer,Returns true if the country has X amount of progress towards hegemony,Country,hegemon_strength = 100
heir_adm,Integer,Returns true if the country has anheirwith an administrative skill of at least X.,Country,heir_adm = 5
heir_age,Integer,Returns true if the country has an heir that is at least X years old.Note: Always returns false if there is no heir.,Country,heir_age = 15
heir_claim,Integer,Returns true if the country has an heir with a claim strength of at least X.,Country,heir_claim = 90
heir_culture,"Identifier, Scope","Returns true, if the country's heir has the specified culture. Can utiliseEvent Scope Values.",Country,heir_culture = prussian
heir_dip,Integer,Returns true if the country has anheirwith a diplomatic skill of at least X.,Country,heir_dip = 5
heir_has_consort_dynasty,Boolean,Returns true if the country’sheirandconsorthave the samedynasty.,Country,heir_has_consort_dynasty = yes
heir_has_personality,Identifier,Returns true if the country’sheirhas the specifiedpersonality.,Country,heir_has_personality = intricate_web_weaver_personality
heir_has_ruler_dynasty,Boolean,Returns true if the country’sheirandrulerhave the samedynasty.,Country,heir_has_ruler_dynasty = yes
heir_mil,Integer,Returns true if the country has anheirwith a military skill of at least X.,Country,heir_mil = 5
heir_nationality,"Tag, Scope",Returns true if the country has anheirwith nationality X.,Country,heir_nationality = PREV
heir_religion,"Identifier, Scope","Returns true, if the country's heir has the specified religion. Can utiliseEvent Scope Values.",Country,heir_religion = catholic
hidden_trigger,Clause,Hides the enclosed triggers so that they are still required but cannot be seen by human players.,Anywhere,"hidden_trigger = {
        NOT = {
            estate_influence = {
                estate = estate_nomadic_tribes
                influence = 85
            }
        }
    }"
higher_development_than,"Identifier, Scope",Returns true if the scope has a higher development than the province,Province,"101 = {
        higher_development_than = 20
    }"
highest_value_trade_node,Boolean,Returns true if thetrade nodeis the highest valued trade node in the world.The value is calculated as total trade value minus outgoing trade value.,Province(Trade node),highest_value_trade_node = yes
historical_friend_with,"Tag, Scope",Returns true if the countries arehistorical friends.,Country,historical_friend_with = FROM
historical_rival_with,"Tag, Scope",Returns true if the countries arehistorical rivals,Country,historical_rival_with = TEU
holy_order,Identifier,Returns true if the province has the specific Holy Order active.,Province,holy_order = jesuit_order
horde_unity,Integer,Returns true if the country has ahorde unityof at least X.,Country,horde_unity = 50
horde_unity,"Tag, Scope",Returns true if the country has at least as much horde unity as the specified country.,Country,horde_unity = GOL
hre_heretic_religion,"Identifier, Scope",Returns true if the specified religion is the opposition religion of theHRE.Note: No localisation for the negation.,Anywhere,hre_heretic_religion = catholic
hre_leagues_enabled,Boolean,Returns truereligious leaguesare enabled.,Anywhere,hre_leagues_enabled = yes
hre_reform_passed,Identifier,Returns true if the specificimperial reformis enacted.,Anywhere,hre_reform_passed = emperor_privilegia_de_non_appelando
hre_religion,"Identifier, Scope",Returns true if the specified religion is the dominant faith of the HRE.,Anywhere,hre_religion = catholic
hre_religion_locked,Boolean,Returns true if an official faith of the HRE has been permanently established.,Anywhere,hre_religion_locked = no
hre_religion_treaty,Boolean,Returns true if the treaty of religious peace in the HRE has been signed.,Anywhere,hre_religion_treaty = no
hre_size,Integer,Returns true if theHREcontains at least X members.,Anywhere,hre_size = 10
humiliated_by,"Tag, Scope",Returns true if the current country scope has been humiliated by the specified country.,Country,"ENG = {
        humiliated_by = FRA
    }"
imperial_influence,Integer,Returns true if the emperor of the HRE has animperial authorityof at least X.,Anywhere,imperial_influence = 25
imperial_mandate,Integer,"Returns true, if the emperor of China has at least X mandate.",Anywhere,imperial_mandate = 80
in_golden_age,Boolean,"Returns true, if the country currently is in a golden age.",Country,in_golden_age = yes
in_league,Identifier,Returns true if the countries is in the Xleague.,Country,in_league = protestant
incident_variable_value,Clause,"Returns true, if the value of the specified incident is at least X.",Country,"incident_variable_value = {
        incident = incident_neo_confucianism
        value = 10
    }"
infantry_fraction,Float,Returns true if the ratio of theinfantryfraction to the army size of the country is at least X.,Country,infantry_fraction = 0.6
infantry_in_province,Integer,Returns true if there are at least Xinfantryunits in the province.,Province,infantry_in_province = 17
infantry_in_province,"Tag, Scope",Returns true if there are infantry units from the specified country in the province.,Province,infantry_in_province = SHL
inflation,Float,Returns true if the country has aninflationof at least X,Country,inflation = 10
inflation,"Tag, Scope",Returns true if the country has at least as much inflation as the country X.,Country,inflation = NOV
innovativeness,Integer,Returns true if the countries has at least Xinnovativeness.,Country,innovativeness = 15
institution_difference,Clause,Returns true if the country has embraced at least X moreinstitutionsthan the specified country.,Country,"institution_difference = {
        who = SWE
        value = 2
    }"
invested_papal_influence,Integer,Returns true if the country has invested at least Xpapal influencein the election of the next papal controller.,Country,invested_papal_influence = 50
ironman,Boolean,Returns true if theironmanmode is enabled,Anywhere,ironman = yes
is_advisor_employed,Advisor ID[1],Returns true if theadvisorwith the ID X is employed.,,is_advisor_employed = 562
is_all_concessions_in_council_taken,Boolean,Returns true if all concessions in the Council of Trent have been taken.,Global,is_all_concessions_in_council_taken = yes
is_at_war,Boolean,Returns true if the country is atwar.,Country,is_at_war = yes
is_backing_current_issue,Boolean,Returns true if the province is backing the current issue in theparliament.,Province,is_backing_current_issue = yes
is_bankrupt,Boolean,Returns true if the country isbankrupt.,Country,is_bankrupt = yes
is_blockaded,Boolean,Returns true if the province isblockaded.,Province,is_blockaded = yes
is_blockaded_by,"Tag, Scope",Returns true if the province isblockadedby the specified country.,Province,is_blockaded_by = SPA
is_capital,Boolean,Returns true if the province is acapital.,Province,is_capital = yes
is_capital_of,"Tag, Scope",Returns true if the province thecapitalof the specified country.,Province,is_capital_of = ROOT
is_city,Boolean,"Returns true if the province is acity, i.e. has a population of at least 1000.",Province,is_city = yes
is_claim,Province ID,Returns true if the country has aclaimon the province with the ID X.,Country,is_claim = 337
is_claim,"Tag, Scope",Returns true if the specified country has a claim on the province.,Province,is_claim = MCH
is_client_nation,Boolean,Returns true if the country is aclient state.,Country,is_client_nation = yes
is_client_nation_of,"Tag, Scope",Returns true if the country is aclient stateof X.,Country,is_client_nation_of = ROOT
is_colonial_nation,Boolean,Returns true if the country is a non-independentcolonial nation.,Country,is_colonial_nation = yes
is_colonial_nation_of,"Tag, Scope",Returns true if the country is acolonial nationof X.,Country,is_colonial_nation_of = ROOT
is_colony,Boolean,Returns true if the province is acolony.,Province,is_colony = yes
is_core,Province ID,Returns true if the country has acoreon the province with the ID X.,Country,is_core = 950
is_core,"Tag, Scope",Returns true if the country X has a core on the province.,Province,is_core = NED
is_council_enabled,Boolean,Returns true if the Council of Trent has started.,Global,is_council_enabled = yes
is_crusade_target,Boolean,Returns true if the country is the target of acrusade.,Country,is_crusade_target = yes
is_defender_of_faith,Boolean,Returns true if the country is thedefender of the faith.,Country,is_defender_of_faith = yes
is_defender_of_faith_of_tier,Integer,"Returns true if the country is thedefender of the faithof at least tier X. Works even without the Emperor DLC, even though the tier is not shown in game in that case.",Country,is_defender_of_faith_of_tier = 4
is_dynamic_tag,Boolean,"Returns true, if the country is a dynamically created tag (e.g. client states).",Country,is_dynamic_tag = yes
is_elector,Boolean,Returns true if the country is anelectorof the HRE.,Country,is_elector = yes
is_emperor,Boolean,Returns true if the country is theemperorof the HRE.,Country,is_emperor = yes
is_emperor_of_china,Boolean,Returns true if the country is theemperor of China.,Country,is_emperor_of_china = yes
is_empty,Boolean,Returns true if province is empty,Province,is_empty = yes
is_enemy,Boolean,Returns true if country X has rivalled the country.,Country,is_enemy = ROOT
is_excommunicated,Boolean,Returns true if the ruler of the country isexcommunicated.,Country,is_excommunicated = yes
is_federation_leader,Boolean,Returns true if the country is afederation leader.,Country,is_federation_leader = yes
is_female,Boolean,Returns true if ruler of the country is female.,Country,is_female = yes
is_force_converted,Boolean,Returns true if country has beenforce-convertedvia either religious rebels or an Enforce Religion peace treaty.Note: The subject interaction Enforce Religion does not cause the subject to be considered as force-converted.,Country,is_force_converted = no
is_foreign_claim,Boolean,returns true if the province is a (permanent) claim of any country which is not the owner of the province,Province,is_foreign_claim = yes
is_former_colonial_nation,Boolean,Returns true if the country is acolonial nationthat has gained independence.,Country,is_former_colonial_nation = no
is_great_power,Boolean,Returns true if the country is agreat power.,Country,is_great_power = yes
is_harmonizing_with,"Identifier, Scope","Returns true, if the country is currently harmonizing with the specified religion or religion group.",Country,is_harmonizing_with = tengri_pagan_reformed
is_hegemon,Boolean,Returns true if the country is considered one of the three Hegemon types.,Country,is_hegemon = yes
is_hegemon_of_type,Identifier,Returns true if the country holds the specific Hegemony.,Country,is_hegemon_of_type = naval_hegemon
is_heir_leader,Boolean,Returns true if the heir of the country is ageneral.Note: Proper localisation for the negation only withNOT = ….,Country,is_heir_leader = yes
is_imperial_ban_allowed,Boolean,Returns true if theemperorhas a casus belli on occupiers of the Empire.Note: Enabled/Disabled withCall for Reichsreform.,Anywhere,is_imperial_ban_allowed = yes
is_in_capital_area,Boolean,Returns true if the province is connected (i.e. has a land connection including straits) to the capital of its owner.,Province,is_in_capital_area = yes
is_in_coalition,Boolean,Returns true if the country is in acoalition.,Country,is_in_coalition = no
is_in_coalition_war,Boolean,Returns true if the country is fighting acoalition war.,Country,is_in_coalition_war = yes
is_in_deficit,Boolean,Returns true if the country is running a deficit.,Country,is_in_deficit = yes
is_in_extended_regency,Boolean,Returns true if the country is inside the period an extended regency.,Country,is_in_extended_regency = yes
is_in_league_war,Boolean,Returns true if the country is in a religiousleaguewar.,Country,is_in_league_war = yes
is_in_trade_league,Boolean,Returns true if the country is a member of atrade league.,Country,is_in_trade_league = yes
is_in_trade_league_with,"Tag, Scope",Returns true if the country is a member of the sametrade leagueas country X.,Country,is_in_trade_league_with = VEN
is_in_war,Clause,Returns true if the country is atwarand the mentioned conditions are fulfilled.Possible conditions are:attacker_leaderdefender_leadercasus_bellidefendersattackersparticipantswar_scorestart_datedurationwar_goal_province,Country,"is_in_war = {
        attacker_leader = ROOT
        duration = 1875
    }"
is_incident_active,Identifier,"Returns true, if the specified incident is active.",Country,is_incident_active = incident_neo_confucianism
is_incident_active,"Boolean, any, none","Returns true, if any/none incident is active.",Country,is_incident_active = any
is_incident_happened,Identifier,"Returns true, if the specified incident already happened.",Country,is_incident_happened = incident_neo_confucianism
is_incident_possible,Identifier,"Returns true, if the specified incident can possibly happen.",Country,is_incident_possible = incident_neo_confucianism
is_incident_potential,Identifier,"Returns true, if the specified incident is visible and therefor can happen in the future.",Country,is_incident_potential = incident_neo_confucianism
is_institution_enabled,Identifier,Returns true if the specifiedinstitutionhas been discovered.,Anywhere,is_institution_enabled = renaissance
is_institution_origin,Identifier,Returns true if the province is the origin of the specifiedinstitution.,Province,is_institution_origin = printing_press
is_island,Boolean,"Returns true if the province is anisland, i.e. has no neighboring land province and no reachable province via astrait.",Province,is_island = yes
is_lacking_institutions,Boolean,Returns true if the country is lacking any institution.,Country,is_lacking_institutions = yes
is_league_enemy,Scope,Returns true if country X is league enemy of the country('s league).,Country,is_league_enemy = ROOT
is_league_friend,Scope,"Returns true, if the country is in the same religiousleagueas the specified country.",Country,is_league_friend = ROOT
is_league_leader,Boolean,Returns true if the country leads a religiousleague.,Country,is_league_leader = yes
is_lesser_in_union,Boolean,Returns true if the country is the lesser partner in apersonal union.,Country,is_lesser_in_union = no
is_looted,Boolean,Returns true if the province islooted.,Province,is_looted = yes
is_march,Boolean,Returns true if the country is amarch.,Country,is_march = yes
is_mod_active,Identifier,Returns true if the specified mod is currently enabled. Specified via either the mod's name or ID.,Anywhere,"is_mod_active = ""2164202838"""
is_monarch_leader,Boolean,Returns true if the rulerof the country is ageneral.Note: Proper localisation for the negation only withNOT = ….,Country,is_monarch_leader = yes
is_month,Integer,Returns true if the current month is at least X (zero based).,Anywhere,is_month = 1 # February or later
is_neighbor_of,"Tag, Scope",Returns true if the country is neighbor of X. Can now be used in province scope as well as country scope.,CountryProvince,is_neighbor_of  = FRA
is_node_in_trade_company_region,Boolean,"Returns true, if the province's trade node is in a trade company region.",Province,is_node_in_trade_company_region = yes
is_nomad,Boolean,Returns true if country's government is nomadic.(Note: Only theSteppe Nomadsgovernment is flagged as nomadic.),Country,is_nomad = yes
is_orangists_in_power,Boolean,Returns true if in the country theorangistsare in power.,Country,is_orangists_in_power = yes
is_origin_of_consort,"Tag, Scope",Returns true if the specified country is the origin country of the scoped country’sconsort.,Country,is_origin_of_consort = ROOT
is_overseas,Boolean,Returns true if the province isoverseas,Province,is_overseas = yes
is_overseas_subject,Boolean,Returns true if thesubjectisoverseas.,Country (subject),is_overseas_subject = yes
is_owned_by_trade_company,Boolean,Returns true if the province belongs to atrade company.,Province,is_owned_by_trade_company = yes
is_papal_controller,Boolean,Returns true if the country is thepapal controller.,Country,is_papal_controller = yes
is_part_of_hre,Boolean,Returns true if the country/province is part of theHRE.,CountryProvince,is_part_of_hre = yes
is_permanent_claim,"Tag, Scope",Returns true if the province is apermanent claimof X.,Province,is_permanent_claim = ROOT
is_playing_custom_nation,Boolean,Returns true if the country is a player-designedcustom nation.,Country,is_playing_custom_nation = yes
is_possible_march,"Tag, Scope",Returns true ifvassalX is a possiblemarchof the country.,Country,is_possible_march = ROOT
is_possible_vassal,"Tag, Scope",Returns true if country X is releasable asvassalof the country.,Country,ENG = { is_possible_vassal = CRN }
is_previous_papal_controller,Boolean,Returns true if the country is the previouspapal controller.,Country,is_previous_papal_controller = yes
is_prosperous,Boolean,Returns true if the province is prosperous. NOTE: Does not have a tooltip.,Province,is_prosperous  = yes
is_protectorate,Boolean,Returns true if the country is aprotectorate,Country,is_protectorate = yes
is_random_new_world,Boolean,Returns true if playing with arandom New World.,Anywhere,is_random_new_world = no
is_reformation_center,Boolean,Returns true if the province is areformation center.,Global,is_reformation_center = no
is_religion_enabled,Identifier,Returns true if the specifiedreligionis enabled.,Anywhere,is_religion_enabled = reformed
is_religion_grant_colonial_claim,"Boolean, Tag, Scope","Returns true if the province has been granted to any country, to no country or to a specific country.",Province,is_religion_grant_colonial_claim = ROOT
is_religion_reformed,Boolean,Returns true if the country hasreformed their religion.,Country,is_religion_reformed = yes
is_renting_condottieri_to,Tag,Returns true if the country is rentingcondottierito the specified country.,Country,is_renting_condottieri_to = ENG
is_revolution_target,Boolean,Returns true if the country is therevolution target.,Country,is_revolution_target = yes
is_revolutionary,Boolean,Returns true if the country has embraced therevolution.,Country,is_revolutionary = yes
is_rival,"Tag, Scope",Returns true if country X is arivalof the country.,Country,is_rival = FRA
is_ruler_commanding_unit,Boolean,"Returns true if the unit is commanded by the owner's ruler, heir or consort.",Unit,is_ruler_commanding_unit = yes
is_sea,Boolean,Returns true if the province is sea.Mostly used fortrade nodes.,Province,is_sea = yes
is_state,Boolean,Returns true if the province is in astate.,Province,is_state = yes
is_state_core,Province ID,Returns true if the country has a statecoreon the province with the ID X.,Country,is_state_core = 950
is_state_core,"Tag, Scope",Returns true if the country X has a state core on the province.,Province,is_state_core = NED
is_statists_in_power,Boolean,Returns true if in the country thestatistsare in power.,Province,is_statists_in_power = yes
is_strongest_trade_power,"Tag, Scope",Returns true if the specified country has the most trade power in the area.,Province(Trade node),is_strongest_trade_power = POR
is_subject,Boolean,Returns true if the country is asubject.,Country,is_subject = yes
is_subject_of,Tag,Returns true if the country is asubjectof X.,Country,is_subject_of = FRA
is_subject_of_type,Identifier,Returns true if the country is asubjectofsubjecttype.,Country,is_subject_of_type = tributary_state
is_subject_of_type_with_overlord,Clause,"Returns true if the country is asubjectofsubjecttype of the specified overlord.whocan use scopes like ROOT, but the tooltip only works with tags.",Country,"is_subject_of_type_with_overlord = {
        who = MNG
        type = tributary_state
    }"
is_supporting_independence_of,"Tag, Scope",Returns true if the country is supporting theindependenceof the specified country.,Country,is_supporting_independence_of = SWI
is_territorial_core,Province ID,Returns true if the country has aterritorial coreon the province with the ID X.,Country,is_territorial_core = 950
is_territorial_core,"Tag, Scope",Returns true if the country X has a territorial core on the province.,Province,is_territorial_core = NED
is_territory,Boolean,Returns true if the province is in aterritory.,Province,is_territory = no
is_threat,"Tag, Scope",Returns true if country X isthreatenedby the country.,Country,is_threat = ROOT
is_trade_league_leader,Boolean,Returns true if the country is the leader of atrade league.,Country,is_trade_league_leader = yes
is_tribal,Boolean,"Returns true if the country has atribal government.Essentially the same as ""government = tribal""",Country,is_tribal = yes
is_variable_equal,Clause,Returns true if the specified variable is equal to X.,,"is_variable_equal = {
        which = myvar
        value = 5
    }"
is_vassal,Boolean,Returns true if the country is avassal.,Country,is_vassal = yes
is_wasteland,Boolean,Returns true if the province iswasteland.,Province,is_wasteland = yes
is_year,Integer,Returns true if the current year is at least X.,Anywhere,is_year = 1750
island,Boolean,"Returns true if the province is anisland, i.e. has no neighboring land provinces.",Province,island = yes
isolationism,Integer,"Returns true, if the country has an isolationism level of at least X.",Country,isolationism = 2
janissary_percentage,Float,Returns true if the country has an army of at least X k janissaries.Available only with theCradle of CivilizationDLC enabled.,Country,janissary_percentage = 0.3
junior_union_with,"Tag, Scope",Returns true if the country is the junior partner in apersonal unionunder country X.,Country,junior_union_with = ENG
karma,Integer,Returns true if the country has akarmaof at least X.,Country,karma = -50
karma,"Tag, Scope",Returns true if the country has at least as much karma as the specified country.,Country,karma = DAI
knows_country,Tag. Scope,Returns true if the country has knowledge of country X.,Country,knows_country = INC
land_forcelimit,Integer,Returns true if the country has aland force limitof at least X.,Country,land_forcelimit = 32
land_forcelimit,"Tag, Scope",Returns true if the country has a land force limit of at least as many regiments as the specified country.,Country,land_forcelimit = ROOT
land_maintenance,Float,Returns true if the country has set itsland maintenanceto X.,Country,land_maintenance = 0.90
land_morale,Float,Returns true if the country has amorale of armiesof at least X.,Country,land_morale = 3.5
land_morale,"Tag, Scope",Returns true if the country has an at least as high morale of armies as the specified country.,Country,land_morale = PRU
last_mission,Identifier,Returns true if the lastmissionof the country was the specified mission.,Country,NOT = { last_mission = conquer_finland }
legitimacy,Integer,Returns true if the country has at least Xlegitimacy.,Country,legitimacy = 100
legitimacy,"Tag, Scope",Returns true if the country has at least as much legitimacy as the specified country.,Country,legitimacy = ENG
legitimacy_equivalent,Integer,"Returns true, if the country's legitimacy equivalent (legitimacy, republican tradition, devotion, horde unity, meritocracy etc.) is at least X.",Country,legitimacy_equivalent = 80
legitimacy_equivalent,"Tag, Scope","Returns true, if the country has at least as much legitimacy equivalent (legitimacy, republican tradition, devotion, horde unity, meritocracy etc.) as the specified country.",Country,legitimacy_equivalent = FRA
legitimacy_or_horde_unity,Integer,Returns true if the country has at least Xlegitimacyorhorde unity.,Country,legitimacy_or_horde_unity = 90
legitimacy_or_horde_unity,"Tag, Scope",Returns true if the country has at least as much legitimacy or horde unity as the specified country.,Country,legitimacy_or_horde_unity = ROOT
liberty_desire,Integer,Return true if the subject has aliberty desireof at least X.,Country (subject),liberty_desire = 50
light_ship_fraction,Float,Returns true if the ratio of thelight shipfraction to the navy size of the country is at least X.,Country,light_ship_fraction = 0.3
light_ships_in_province,Integer,Returns true if there are at least Xlight shipsin the province.,Province,light_ships_in_province = 10
light_ships_in_province,"Tag, Scope",Returns true if there are light ships from the specified country in the province.,Province,light_ships_in_province = ROOT
likely_rebels,Identifier,Returns true if the province has the specifiedrebel factionas likely rebels.,Province,likely_rebels = revolutionary_rebels
local_autonomy,Integer,Returns true if the province has alocal autonomyof at least X.,Province,local_autonomy = 50
local_autonomy_above_min,Float,"Returns true, if the province's local autonomy is at least X above the province's minimum local autonomy.",Province,local_autonomy_above_min = 10
luck,Boolean,Returns true if the country is alucky nation. (AI controlled counties only.),Country,luck = yes
manpower,Integer,Returns true if the country has at leastX⋅1000{\displaystyle {\text{X}}\cdot 1000}availablemanpower.,Country,manpower = 22
manpower_percentage,Float,Returns true if the country has amanpowerlevel of at least X%.,Country,manpower_percentage = 0.50
march_of,"Tag, Scope",Returns true if the country is amarchunder country X.,Country,march_of = PAP
marriage_with,"Tag, Scope",Returns true if the country has aroyal marriagewith X.,Country,marriage_with = ROOT
max_manpower,Integer,Returns true if the country has at leastX⋅1000{\displaystyle {\text{X}}\cdot 1000}maximum manpower.,Country,max_manpower = 5
max_sailors[2],Integer,Returns true if the country has at least X maximum sailors.,Country,max_sailors = 5000
mercantilism,Float,Returns true if the country'smercantilismis at least X.,Country,mercantilism = 5
meritocracy,Integer,"Returns true, if the country has a meritocracy value of at least X.",Country,meritocracy = 80
mil,Integer,Returns true if the country has arulerwith a military skill of at least X.,Country,mil = 6
mil,"Tag, Scope",Returns true if the country has a ruler with at least as high military skill as the ruler of the specified country.,Country,mil = HJO
mil_power,Integer,Returns true if the country has at least Xmilitary power.,Country,mil_power = 333
mil_power,"Tag, Scope",Returns true if the country has at least as much military power as the specified country.,Country,mil_power = MAM
mil_tech,Integer,Returns true if the country has anmilitary technologyof at least level X.,Country,mil_tech = 4
militarised_society,Integer,Returns true if the country has amilitarization of countryof at least X.,Country,militarized_society = 20
